MARTA;MADRID;SI;1;usuario1@usuario.es;634789654;ESPAÑA
LUIS;CORDOBA;NO;1;usuario2@usuario.es;654356279;ESPAÑA
JOSE;SEVILLA;SI;1;usuario3@usuario.es;673922904;ESPAÑA
LAURA;BARCELONA;SI;0;usuario4@usuario.es;693489529;ESPAÑA
JUAN;MADRID;NO;0;usuario5@usuario.es;613056154;ESPAÑA
JESUS;CORDOBA;SI;1;usuario6@usuario.es;632622779;ESPAÑA
JAIME;CORDOBA;NO;0;usuario7@usuario.es;652189404;ESPAÑA
LUCIA;SEVILLA;SI;0;usuario8@usuario.es;661756029;ESPAÑA
PAULA;SEVILLA;NO;1;usuario9@usuario.es;691322654;ESPAÑA
SARA;BARCELONA;NO;1;usuario10@usuario.es;610889279;ESPAÑA
PEPE;MADRID;NO;0;usuario11@usuario.es;630455904;ESPAÑA
CESAR;MADRID;SI;0;usuario12@usuario.es;670022529;ESPAÑA
